word,taglist,start,end
20,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c20'}}]",13613,13615
2,['sub'],13622,13623
6,['sub'],13628,13629
31,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c31'}}]",13629,13631
3(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",13895,13899
C,['sub'],14094,14095
2,['sup'],14183,14184
g,['sub'],14256,14257
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14276,14280
3(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14393,14397
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",14448,14452
g,['sub'],14501,14502
14,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c14'}}]",14503,14505
"8,28","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c8 c28'}}]",14667,14671
2+,['sup'],14793,14795
3+,['sup'],14813,14815
2,['sub'],14827,14828
6,['sub'],14833,14834
3(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f3'}}]",15327,15331
"5,32","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c5 c32'}}]",15415,15419
m+1,['sub'],15577,15580
m,['sub'],15586,15587
m+1,['sub'],15642,15645
m,['sub'],15651,15652
m,['sub'],15674,15675
max,['sub'],15725,15728
M,['sub'],15738,15739
AV,['sub'],15782,15784
m,['sub'],15788,15789
m+1,['sub'],15791,15794
m,['sub'],15869,15870
m+1,['sub'],15876,15879
M,['sub'],15898,15899
(4),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd4'}}]",15925,15928
4(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f4'}}]",16013,16017
4(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f4'}}]",16022,16026
M,['sub'],16052,16053
C,['sub'],16058,16059
33–35,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c33 c34 c35'}}]",16473,16478
M,['sub'],16580,16581
M,['sub'],16723,16724
C,['sub'],16729,16730
et al.,['italic'],16855,16861
49,['sub'],16938,16940
13,['sub'],16942,16944
38,['sub'],16946,16948
35,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c35'}}]",16955,16957
M,['sub'],16966,16967
C,['sub'],17088,17089
g,['sub'],17098,17099
M,['sub'],17104,17105
14,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c14'}}]",17240,17242
M,['sub'],17327,17328
C,['sub'],17354,17355
et al.,['italic'],17468,17474
36,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c36'}}]",17594,17596
C,['sub'],17660,17661
M,['sub'],17724,17725
(5),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd5'}}]",17747,17750
C,['sub'],17841,17842
37,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c37'}}]",17866,17868
38,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c38'}}]",17984,17986
C,['sub'],18249,18250
P,['sub'],18340,18341
36,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c36'}}]",18426,18428
P,['sub'],18488,18489
5(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",18553,18557
P,['sub'],18608,18609
C,['sub'],18703,18704
P,['sub'],18721,18722
C,['sub'],18763,18764
C,['sub'],18792,18793
M,['sub'],18859,18860
hot,['sub'],19018,19021
cold,['sub'],19034,19038
M,['sub'],19269,19270
FWHM,['sub'],19310,19314
hot,['sub'],19318,19321
cold,['sub'],19325,19329
C,['sub'],19449,19450
g,['sub'],19463,19464
39,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c39'}}]",19468,19470
C,['sub'],19502,19503
g,['sub'],19516,19517
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19569,19573
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",19592,19596
C,['sub'],19804,19805
g,['sub'],19819,19820
C,['sub'],19910,19911
g,['sub'],19917,19918
4,['sub'],19951,19952
7,['sub'],19953,19954
40,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c40'}}]",19955,19957
3,['sub'],19963,19964
41,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c41'}}]",19965,19967
50,['sub'],19974,19976
36,['sub'],19978,19980
14,['sub'],19982,19984
42,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c42'}}]",19984,19986
C,['sub'],20056,20057
C,['sub'],20314,20315
37,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c37'}}]",20701,20703
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",20750,20754
5(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f5'}}]",20773,20777
C,['sub'],20907,20908
g,['sub'],20914,20915
(6),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd6'}}]",20940,20943
C,['sub'],20995,20996
x,['sub'],21126,21127
2−x,['sub'],21129,21132
6,['sub'],21137,21138
C,['sub'],21172,21173
43,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c43'}}]",21174,21176
44,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c44'}}]",21549,21551
et al.,['italic'],21674,21680
45,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c45'}}]",21680,21682
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",21690,21694
46,"['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c46'}}]",21974,21976
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",22211,22215
2+,['sup'],22831,22833
2g,['sub'],22836,22838
5,['sup'],22838,22839
g,['sub'],22840,22841
2,['sup'],22841,22842
4+,['sup'],22848,22850
2g,['sub'],22852,22854
3,['sup'],22854,22855
g,['sub'],22856,22857
0,['sup'],22857,22858
3+,['sup'],22869,22871
2g,['sub'],22874,22876
5,['sup'],22876,22877
g,['sub'],22878,22879
1,['sup'],22879,22880
4+,['sup'],22886,22888
2g,['sub'],22891,22893
5,['sup'],22893,22894
g,['sub'],22895,22896
1,['sup'],22896,22897
6(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",23489,23493
C,['sub'],24096,24097
6(a),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",24106,24110
6(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f6'}}]",24622,24626
0,['sub'],24664,24665
T,"['mi', 'mrow']",24684,24685
0,"['mn', 'mrow']",24685,24686
=,['mo'],24686,24687
4,['mn'],24687,24688
E,"['mi', 'mrow']",24688,24689
A,"['mi', 'mrow']",24689,24690
K,"['mi', 'mrow']",24690,24691
B,"['mi', 'mrow']",24691,24692
T,"['mi', 'mrow']",24692,24693
3,['mn'],24693,24694
/,['mo'],24694,24695
4,['mn'],24695,24696
B,['sub'],24699,24700
A,['sub'],24733,24734
A,['sub'],24804,24805
2,['sub'],25058,25059
6,['sub'],25064,25065
"23,24,47","['sup', {'xref': {'ref-type': 'bibr', 'rid': 'c23 c24 c47'}}]",25141,25149
2+,['sup'],25181,25183
3+,['sup'],25195,25197
4+,['sup'],25227,25229
2–,['sup'],25231,25233
2+,['sup'],25236,25238
3+,['sup'],25248,25250
2–,['sup'],25252,25254
3+,['sup'],25257,25259
4+,['sup'],25298,25300
3+,['sup'],25303,25305
2–,['sup'],25307,25309
4+,['sup'],25312,25314
3+,['sup'],25317,25319
3+,['sup'],25329,25331
2+,['sup'],25334,25336
2–,['sup'],25338,25340
3+,['sup'],25343,25345
2+,['sup'],25348,25350
G,['sub'],26171,26172
M,['sub'],26260,26261
C,['sub'],26355,26356
g,['sub'],26371,26372
M,['sub'],26413,26414
g,['sub'],26423,26424
M,['sub'],26457,26458
C,['sub'],26463,26464
C,['sub'],26644,26645
6,['sub'],28027,28028
6,['sub'],28036,28037
(,[{'mo': {'stretchy': 'false'}}],28493,28494
T,['mi'],28494,28495
−,['mo'],28495,28496
T,"['mi', 'mrow']",28496,28497
C,"['mi', 'mrow']",28497,28498
Rand,"[{'mtext': {'mathvariant': 'italic'}}, 'mrow']",28498,28502
),[{'mo': {'stretchy': 'false'}}],28502,28503
χ,"['mo', 'mrow']",28614,28615
1,"['mn', 'mrow']",28615,28616
R,"['mi', 'mrow']",28616,28617
T,['italic'],28618,28619
ac,['sub'],28641,28643
M,['sub'],29007,29008
C,['sub'],29075,29076
g,['sub'],29089,29090
P,['sub'],29133,29134
C,['sub'],29292,29293
g,['sub'],29299,29300
(9),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd9'}}]",29368,29371
−0.25,['sup'],29759,29764
