word,taglist,start,end
−1,[{'sup': {}}],11106,11108
(,"[{'mo': {'stretchy': 'false'}}, {'tag': 'mathML'}]",11146,11147
T,"[{'mi': {}}, {'tag': 'mathML'}]",11147,11148
−,"[{'mo': {}}, {'tag': 'mathML'}]",11148,11149
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",11149,11150
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",11150,11151
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",11151,11155
),"[{'mo': {'stretchy': 'false'}}, {'tag': 'mathML'}]",11155,11156
 ,"[{'mo': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",11225,11226
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",11226,11227
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",11227,11228
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",11228,11232
=,"[{'mo': {}}, {'tag': 'mathML'}]",11232,11233
153.63,"[{'mn': {}}, {'tag': 'mathML'}]",11233,11239
 ,"[{'mo': {}}, {'tag': 'mathML'}]",11239,11240
K,"[{'mi': {'mathvariant': 'normal'}}, {'tag': 'mathML'}]",11240,11241
C,[{'sub': {}}],11259,11260
GP,[{'sub': {}}],11275,11277
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",11319,11320
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",11320,11321
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",11321,11325
G,[{'sub': {}}],11383,11384
C,[{'sub': {}}],11494,11495
G,[{'sub': {}}],11500,11501
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",11507,11508
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",11508,11509
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",11509,11513
ac,[{'sub': {}}],11598,11600
2(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",11677,11681
C,[{'sub': {}}],11756,11757
ac,[{'sub': {}}],11781,11783
g,[{'sub': {}}],11848,11849
"8,15","[{'xref': {'ref-type': 'bibr', 'rid': 'c8 c15'}}, {'sup': {}}]",11916,11920
2(b),"[{'xref': {'ref-type': 'fig', 'rid': 'f2'}}]",11939,11943
ac,[{'sub': {}}],11985,11987
−1,[{'sup': {}}],11987,11989
dc,[{'sub': {}}],12101,12103
−1,[{'sup': {}}],12103,12105
ac,[{'sub': {}}],12256,12258
−1,[{'sup': {}}],12258,12260
(2),"[{'xref': {'ref-type': 'disp-formula', 'rid': 'd2'}}]",12277,12280
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",12345,12346
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",12346,12347
Rand,"[{'mtext': 'italic'}, {'sup': 'msubsup'}, {'tag': 'mathML'}]",12347,12351
T,"[{'mi': {}}, {'base': 'msubsup'}, {'tag': 'mathML'}]",12398,12399
C,"[{'mi': {}}, {'sub': 'msubsup'}, {'tag': 'mathML'}]",12399,12400
